Country Name,Country Code,Region
Aruba,ABW,Western Hemisphere
Afghanistan,AFG,Near East (North Africa and the Middle East)
Angola,AGO,Africa (sub-Sahara)
Albania,ALB,Europe and Eurasia
Andorra,AND,Europe and Eurasia
Arab World,ARB,
United Arab Emirates,ARE,Near East (North Africa and the Middle East)
Argentina,ARG,Western Hemisphere
Armenia,ARM,Europe and Eurasia
Western Hemispheren Samoa,ASM,East Asia and the Pacific
Antigua and Barbuda,ATG,Western Hemisphere
Australia,AUS,East Asia and the Pacific
Austria,AUT,Europe and Eurasia
Azerbaijan,AZE,Europe and Eurasia
Burundi,BDI,Africa (sub-Sahara)
Belgium,BEL,Europe and Eurasia
Benin,BEN,Africa (sub-Sahara)
Burkina Faso,BFA,Africa (sub-Sahara)
Bangladesh,BGD,South and Central Asia
Bulgaria,BGR,Europe and Eurasia
Bahrain,BHR,Near East (North Africa and the Middle East)
"Bahamas, The",BHS,Western Hemisphere
Bosnia and Herzegovina,BIH,Europe and Eurasia
Belarus,BLR,Europe and Eurasia
Belize,BLZ,Western Hemisphere
Bermuda,BMU,Western Hemisphere
Bolivia,BOL,Western Hemisphere
Brazil,BRA,Western Hemisphere
Barbados,BRB,Western Hemisphere
Brunei,BRN,East Asia and the Pacific
Bhutan,BTN,South and Central Asia
Botswana,BWA,Africa (sub-Sahara)
Central Africa (sub-Sahara)n Republic,CAF,Africa (sub-Sahara)
Canada,CAN,Western Hemisphere
Central Europe and Eurasia and the Baltics,CEB,
Switzerland,CHE,Europe and Eurasia
Channel Islands,CHI,Europe and Eurasia
Chile,CHL,Western Hemisphere
China,CHN,East Asia and the Pacific
Cote d'Ivoire,CIV,Africa (sub-Sahara)
Cameroon,CMR,Africa (sub-Sahara)
Congo (Kinshasa),COD,Africa (sub-Sahara)
Congo (Brazzaville),COG,Africa (sub-Sahara)
Colombia,COL,Western Hemisphere
Comoros,COM,Africa (sub-Sahara)
Cabo Verde,CPV,Africa (sub-Sahara)
Costa Rica,CRI,Western Hemisphere
Caribbean small states,CSS,Western Hemisphere
Cuba,CUB,Western Hemisphere
Curacao,CUW,Western Hemisphere
Cayman Islands,CYM,Western Hemisphere
Cyprus,CYP,Near East (North Africa and the Middle East)
Czechia,CZE,Europe and Eurasia
Germany,DEU,Europe and Eurasia
Djibouti,DJI,Near East (North Africa and the Middle East)
Dominica,DMA,Western Hemisphere
Denmark,DNK,Europe and Eurasia
Dominican Republic,DOM,Western Hemisphere
Algeria,DZA,Africa (sub-Sahara)
East Asia & Pacific (excluding high income),EAP,
Early-demographic dividend,EAR,
East Asia & Pacific,EAS,
Europe and Eurasia & Central Asia (excluding high income),ECA,
Europe and Eurasia & Central Asia,ECS,
Ecuador,ECU,Western Hemisphere
Egypt,EGY,Near East (North Africa and the Middle East)
Euro area,EMU,
Eritrea,ERI,Africa (sub-Sahara)
Spain,ESP,Europe and Eurasia
Estonia,EST,Europe and Eurasia
Ethiopia,ETH,Africa (sub-Sahara)
Europe and Eurasiaan Union,EUU,
Fragile and conflict affected situations,FCS,
Finland,FIN,Europe and Eurasia
Fiji,FJI,East Asia and the Pacific
France,FRA,Europe and Eurasia
Faroe Islands,FRO,Europe and Eurasia
"Micronesia, Fed. Sts.",FSM,East Asia and the Pacific
Gabon,GAB,Africa (sub-Sahara)
Georgia,GEO,Europe and Eurasia
Ghana,GHA,Africa (sub-Sahara)
Gibraltar,GIB,Europe and Eurasia
Guinea,GIN,Africa (sub-Sahara)
"Gambia, The",GMB,Africa (sub-Sahara)
Guinea-Bissau,GNB,Africa (sub-Sahara)
Equatorial Guinea,GNQ,Africa (sub-Sahara)
Greece,GRC,Europe and Eurasia
Grenada,GRD,Western Hemisphere
Greenland,GRL,Europe and Eurasia
Guatemala,GTM,Western Hemisphere
Guam,GUM,Western Hemisphere
Guyana,GUY,Western Hemisphere
High income,HIC,
Hong Kong,HKG,East Asia and the Pacific
Honduras,HND,Western Hemisphere
Heavily indebted poor countries (HIPC),HPC,
Croatia,HRV,Europe and Eurasia
Haiti,HTI,Western Hemisphere
Hungary,HUN,Europe and Eurasia
IBRD only,IBD,
IDA & IBRD total,IBT,
IDA total,IDA,
IDA blend,IDB,
Indonesia,IDN,South and Central Asia
IDA only,IDX,
Isle of Man,IMN,Europe and Eurasia
India,IND,South and Central Asia
Not classified,INX,
Ireland,IRL,Europe and Eurasia
Iran,IRN,Near East (North Africa and the Middle East)
Iraq,IRQ,Near East (North Africa and the Middle East)
Iceland,ISL,Europe and Eurasia
Israel,ISR,Europe and Eurasia
Italy,ITA,Europe and Eurasia
Jamaica,JAM,Western Hemisphere
Jordan,JOR,Near East (North Africa and the Middle East)
Japan,JPN,East Asia and the Pacific
Kazakhstan,KAZ,Europe and Eurasia
Kenya,KEN,Africa (sub-Sahara)
Kyrgyzstan,KGZ,Europe and Eurasia
Cambodia,KHM,East Asia and the Pacific
Kiribati,KIR,East Asia and the Pacific
St. Kitts and Nevis,KNA,Western Hemisphere
South Korea,KOR,East Asia and the Pacific
Kuwait,KWT,Near East (North Africa and the Middle East)
Latin Western Hemisphere & Caribbean (excluding high income),LAC,
Lao PDR,LAO,
Lebanon,LBN,Near East (North Africa and the Middle East)
Liberia,LBR,Africa (sub-Sahara)
Libya,LBY,Near East (North Africa and the Middle East)
St. Lucia,LCA,Western Hemisphere
Latin Western Hemisphere & Caribbean,LCN,
Least developed countries: UN classification,LDC,
Low income,LIC,
Liechtenstein,LIE,Europe and Eurasia
Sri Lanka,LKA,South and Central Asia
Lower middle income,LMC,
Low & middle income,LMY,
Lesotho,LSO,Africa (sub-Sahara)
Late-demographic dividend,LTE,
Lithuania,LTU,Europe and Eurasia
Luxembourg,LUX,Europe and Eurasia
Latvia,LVA,Europe and Eurasia
"Macao SAR, China",MAC,East Asia and the Pacific
St. Martin (French part),MAF,
Morocco,MAR,Near East (North Africa and the Middle East)
Monaco,MCO,Europe and Eurasia
Moldova,MDA,Europe and Eurasia
Madagascar,MDG,Africa (sub-Sahara)
Maldives,MDV,South and Central Asia
Middle East & North Africa (sub-Sahara),MEA,
Mexico,MEX,Western Hemisphere
Marshall Islands,MHL,East Asia and the Pacific
Middle income,MIC,
North Macedonia,MKD,Europe and Eurasia
Mali,MLI,Africa (sub-Sahara)
Malta,MLT,Europe and Eurasia
Myanmar,MMR,South and Central Asia
Middle East & North Africa (sub-Sahara) (excluding high income),MNA,
Montenegro,MNE,Europe and Eurasia
Mongolia,MNG,East Asia and the Pacific
Northern Mariana Islands,MNP,
Mozambique,MOZ,Africa (sub-Sahara)
Mauritania,MRT,Africa (sub-Sahara)
Mauritius,MUS,Africa (sub-Sahara)
Malawi,MWI,Africa (sub-Sahara)
Malaysia,MYS,East Asia and the Pacific
North Western Hemisphere,NAC,
Namibia,NAM,Africa (sub-Sahara)
New Caledonia,NCL,East Asia and the Pacific
Niger,NER,Africa (sub-Sahara)
Nigeria,NGA,Africa (sub-Sahara)
Nicaragua,NIC,Western Hemisphere
Netherlands,NLD,Europe and Eurasia
Norway,NOR,Europe and Eurasia
Nepal,NPL,South and Central Asia
Nauru,NRU,East Asia and the Pacific
New Zealand,NZL,East Asia and the Pacific
OECD members,OED,
Oman,OMN,Near East (North Africa and the Middle East)
Other small states,OSS,
Pakistan,PAK,South and Central Asia
Panama,PAN,Western Hemisphere
Peru,PER,Western Hemisphere
Philippines,PHL,East Asia and the Pacific
Palau,PLW,East Asia and the Pacific
Papua New Guinea,PNG,East Asia and the Pacific
Poland,POL,Europe and Eurasia
Pre-demographic dividend,PRE,
Puerto Rico,PRI,Western Hemisphere
"Korea, North",PRK,South and Central Asia
Portugal,PRT,Europe and Eurasia
Paraguay,PRY,Western Hemisphere
West Bank and Gaza,PSE,Near East (North Africa and the Middle East)
Pacific island small states,PSS,
Post-demographic dividend,PST,
French Polynesia,PYF,
Qatar,QAT,Near East (North Africa and the Middle East)
Romania,ROU,Europe and Eurasia
Russia,RUS,Europe and Eurasia
Rwanda,RWA,Africa (sub-Sahara)
South Asia,SAS,
Saudi Arabia,SAU,Near East (North Africa and the Middle East)
Sudan,SDN,Africa (sub-Sahara)
Senegal,SEN,Africa (sub-Sahara)
Singapore,SGP,East Asia and the Pacific
Solomon Islands,SLB,East Asia and the Pacific
Sierra Leone,SLE,Africa (sub-Sahara)
El Salvador,SLV,Western Hemisphere
San Marino,SMR,Europe and Eurasia
Somalia,SOM,Africa (sub-Sahara)
Serbia,SRB,Europe and Eurasia
South Sudan,SSD,Africa (sub-Sahara)
Sao Tome and Principe,STP,Western Hemisphere
Suriname,SUR,Western Hemisphere
Slovakia,SVK,Europe and Eurasia
Slovenia,SVN,Europe and Eurasia
Sweden,SWE,Europe and Eurasia
Eswatini,SWZ,Africa (sub-Sahara)
Sint Maarten (Dutch part),SXM,Western Hemisphere
Seychelles,SYC,Africa (sub-Sahara)
Syrian Arab Republic,SYR,Near East (North Africa and the Middle East)
Turks and Caicos Islands,TCA,Western Hemisphere
Chad,TCD,Africa (sub-Sahara)
Togo,TGO,Africa (sub-Sahara)
Thailand,THA,East Asia and the Pacific
Tajikistan,TJK,Europe and Eurasia
Turkmenistan,TKM,Europe and Eurasia
Timor-Leste,TLS,South and Central Asia
Tonga,TON,East Asia and the Pacific
Trinidad and Tobago,TTO,Western Hemisphere
Tunisia,TUN,Near East (North Africa and the Middle East)
Turkey,TUR,Europe and Eurasia
Tuvalu,TUV,East Asia and the Pacific
Tanzania,TZA,Africa (sub-Sahara)
Uganda,UGA,Africa (sub-Sahara)
Ukraine,UKR,Europe and Eurasia
Upper middle income,UMC,
Uruguay,URY,Western Hemisphere
UK,GBR,Europe and Eurasia
US,USA,Western Hemisphere
Uzbekistan,UZB,Europe and Eurasia
